index,value_mv
1,204798.961496
2,204798.958683
3,204798.958349
4,204798.961162
5,204798.962784
6,204798.963928
7,204798.967171
8,204798.969650
9,204798.966694
10,204798.961878
11,204798.960304
12,204798.958683
13,204798.957062
14,204798.958015
15,204798.960113
16,204798.962927
17,204798.968601
18,204798.970413
19,204798.966408
20,204798.961639
21,204798.960066
22,204798.958921
23,204798.957157
24,204798.958588
25,204798.960400
26,204798.962450
27,204798.968124
28,204798.969841
29,204798.966741
30,204798.962688
31,204798.960733
32,204798.960304
33,204798.958921
34,204798.959732
35,204798.961019
36,204798.963308
37,204798.967361
38,204798.969746
39,204798.968744
40,204798.963785
41,204798.960590
42,204798.959303
43,204798.957777
44,204798.959923
45,204798.962164
46,204798.963690
47,204798.968744
48,204798.971033
49,204798.966932
50,204798.961544
51,204798.960400
52,204798.957968
53,204798.956823
54,204798.959589
55,204798.961115
56,204798.962498
57,204798.967028
58,204798.969555
59,204798.965883
60,204798.961496
61,204798.960638
62,204798.958540
63,204798.956776
64,204798.960161
65,204798.962307
66,204798.963785
67,204798.968220
68,204798.970365
69,204798.966217
70,204798.962641
71,204798.959207
72,204798.958588
73,204798.957586
74,204798.958349
75,204798.961258
76,204798.962688
77,204798.967457
78,204798.969698
79,204798.965263
80,204798.961973
81,204798.960018
82,204798.958015
83,204798.957205
84,204798.958063
85,204798.960686
86,204798.962164
87,204798.967409
88,204798.969269
89,204798.965454
90,204798.962402
91,204798.960352
92,204798.959064
93,204798.957157
94,204798.958731
95,204798.960924
96,204798.962927
97,204798.968029
98,204798.969602
99,204798.966503
100,204798.962593
101,204798.959494
102,204798.958683
103,204798.956966
104,204798.959017
105,204798.961782
106,204798.963594
107,204798.967600
108,204798.969459
109,204798.965311
110,204798.960733
111,204798.959780
112,204798.957920
113,204798.957252
114,204798.958874
115,204798.960018
116,204798.962164
117,204798.967934
118,204798.970652
119,204798.966455
120,204798.961115
121,204798.959589
122,204798.957395
123,204798.957682
124,204798.958063
125,204798.960543
126,204798.963451
127,204798.967314
128,204798.969889
129,204798.966360
130,204798.962641
131,204798.960733
132,204798.959064
133,204798.957300
134,204798.960066
135,204798.960972
136,204798.963499
137,204798.968172
138,204798.970270
139,204798.966265
140,204798.962211
141,204798.959923
142,204798.958540
143,204798.958540
144,204798.958540
145,204798.960876
146,204798.964214
147,204798.967457
148,204798.969316
149,204798.965311
150,204798.962164
151,204798.960876
152,204798.959255
153,204798.957682
154,204798.960018
155,204798.961925
156,204798.963594
157,204798.966884
158,204798.970318
159,204798.966741
160,204798.961925
161,204798.960400
162,204798.959207
163,204798.959064
164,204798.961592
165,204798.968649
166,204798.971081
167,204798.975801
168,204798.978233
169,204798.976517
170,204798.976707
171,204798.975420
172,204798.973894
173,204798.972463
174,204798.973846
175,204798.975611
176,204798.977995
177,204798.983621
178,204798.985243
179,204798.984146
180,204798.984241
181,204798.983621
182,204798.982763
183,204798.981380
184,204798.983765
185,204798.985577
186,204798.986387
187,204798.991251
188,204798.994589
189,204798.991156
190,204798.988151
191,204798.990631
192,204798.990011
193,204798.988914
194,204798.990059
195,204798.993206
196,204798.994779
197,204798.998356
198,204799.001264
199,204798.997593
200,204798.993778
201,204798.992205
202,204798.987913
203,204798.980808
204,204798.983669
205,204798.986101
206,204798.988533
207,204798.990059
208,204798.987341
209,204798.982668
210,204798.978090
211,204798.975420
212,204798.974514
213,204798.967123
214,204798.967409
215,204798.969078
216,204798.971271
217,204798.973036
218,204798.969936
219,204798.965931
220,204798.962641
221,204798.961115
222,204798.959350
223,204798.957205
224,204798.958349
225,204798.961925
226,204798.964548
227,204798.966932
228,204798.969841
229,204798.966455
230,204798.963022
231,204798.960733
232,204798.959589
233,204798.957443
234,204798.958254
235,204798.960686
236,204798.963117
237,204798.967075
238,204798.969602
239,204798.965454
240,204798.960066
241,204798.953390
242,204798.951387
243,204798.949146
244,204798.953009
245,204798.959589
246,204798.963642
247,204798.971414
248,204798.985338
249,204798.990202
250,204798.994732
251,204799.003649
252,204799.021673
253,204799.038648
254,204799.062204
255,204799.082756
256,204799.108362
257,204799.142170
258,204799.171829
259,204799.196768
260,204799.216795
261,204799.230146
262,204799.236011
263,204799.235296
264,204799.233723
265,204799.219847
266,204799.194050
267,204799.169922
268,204799.134922
269,204799.091673
270,204799.046707
271,204799.006557
272,204798.967409
273,204798.933315
274,204798.903513
275,204798.876095
276,204798.859739
277,204798.848629
278,204798.844862
279,204798.839617
280,204798.838377
281,204798.842239
282,204798.850250
283,204798.862076
284,204798.878860
285,204798.890924
286,204798.907375
287,204798.921299
288,204798.932791
289,204798.940658
290,204798.940372
291,204798.942566
292,204798.944759
293,204798.948383
294,204798.952341
295,204798.953152
296,204798.955250
297,204798.959589
298,204798.963833
299,204798.964834
300,204798.962450
301,204798.960304
302,204798.958588
303,204798.957395
304,204798.959970
305,204798.962116
306,204798.965168
307,204798.973751
308,204798.978186
309,204798.974466
310,204798.970413
311,204798.968124
312,204798.969126
313,204798.973274
314,204798.976326
315,204798.978901
316,204798.980808
317,204798.983431
318,204798.985386
319,204798.981953
320,204798.978996
321,204798.976040
322,204798.976850
323,204798.975181
324,204798.978281
325,204798.984623
326,204798.987675
327,204798.991299
328,204798.993158
329,204798.989391
330,204798.987150
331,204798.983860
332,204798.982143
333,204798.982572
334,204798.984146
335,204798.985815
336,204798.987675
337,204798.991251
338,204798.994541
339,204798.995209
340,204798.993111
341,204798.986626
342,204798.983669
343,204798.982334
344,204798.990106
345,204798.994827
346,204798.995542
347,204798.998690
348,204799.001074
349,204798.997736
350,204798.999643
351,204798.999882
352,204798.998690
353,204798.997450
354,204799.000025
355,204799.002552
356,204799.010420
357,204799.014616
358,204799.017429
359,204799.014521
360,204799.010277
361,204799.007416
362,204799.007130
363,204799.010849
364,204799.015856
365,204799.017191
366,204799.018574
367,204799.022722
368,204799.025392
369,204799.021244
370,204799.017954
371,204799.015903
372,204799.014616
373,204799.012709
374,204799.015713
375,204799.018335
376,204799.019623
377,204799.022627
378,204799.025011
379,204799.021053
380,204799.018097
381,204799.015570
382,204799.014902
383,204799.014377
384,204799.015951
385,204799.016666
386,204799.018812
387,204799.022055
388,204799.025917
389,204799.021721
390,204799.012613
391,204799.002552
392,204798.997831
393,204798.996258
394,204798.998403
395,204798.999500
396,204798.996687
397,204798.999119
398,204799.002123
399,204798.998022
400,204798.993635
401,204798.986387
402,204798.983192
403,204798.982239
404,204798.982477
405,204798.978186
406,204798.978901
407,204798.983717
408,204798.986006
409,204798.977232
410,204798.969507
411,204798.963117
412,204798.959923
413,204798.958063
414,204798.959207
415,204798.960781
416,204798.963594
417,204798.967409
418,204798.970795
419,204798.966646
420,204798.962593
421,204798.959017
422,204798.958015
423,204798.957777
424,204798.959541
425,204798.962307
426,204798.963976
427,204798.966360
428,204798.969984
429,204798.966026
430,204798.962450
431,204798.961258
432,204798.959589
433,204798.957062
434,204798.959064
435,204798.959827
436,204798.962116
437,204798.966741
438,204798.970079
