index,ch2,ch3,ch4
1,-4.147006,-0.091267,400.000000
2,-95.678436,-33.641915,400.000000
3,-319.728031,-254.143698,-115.571322
4,-105.711902,-102.812016,-400.000048
5,0.587845,-0.174141,-400.000048
6,25.517610,-2.644492,-400.000048
7,146.646660,39.067082,-400.000048
8,338.159506,271.867403,24.888471
9,108.824504,106.491865,400.000000
10,0.120115,0.116253,400.000000
11,-3.929711,-0.088835,400.000000
12,-93.728649,-32.610182,400.000000
13,-319.491806,-253.454096,-109.597410
14,-108.469833,-105.438770,-400.000048
15,0.440359,-0.204706,-400.000048
16,23.943475,-2.517557,-400.000048
17,143.906897,38.818078,-400.000048
18,337.779371,272.130617,22.288850
19,110.023130,107.681383,400.000000
20,0.135803,0.132465,400.000000
21,-3.735114,-0.087309,400.000000
22,-91.698467,-31.669430,400.000000
23,-318.657722,-252.230770,-103.359902
24,-110.672821,-107.480920,-400.000048
25,0.337315,-0.230980,-400.000048
26,22.916701,-2.417136,-400.000048
27,141.875236,38.462405,-400.000048
28,336.746637,271.317562,18.865731
29,110.716881,108.324350,400.000000
30,0.145054,0.141335,400.000000
31,-3.755665,-0.086498,400.000000
32,-91.908561,-31.751970,400.000000
33,-318.563070,-252.246601,-104.810060
34,-110.062660,-106.907714,-400.000048
35,0.389385,-0.221968,-400.000048
36,23.362163,-2.444840,-400.000048
37,142.574184,38.384490,-400.000048
38,337.422220,271.647009,19.139435
39,111.115183,108.715452,400.000000
40,0.151777,0.148106,400.000000
41,-3.655100,-0.086355,400.000000
42,-91.077577,-31.398968,400.000000
43,-318.796530,-252.282983,-102.602828
44,-111.764730,-108.534874,-400.000048
45,0.306177,-0.244236,-400.000048
46,22.642091,-2.404261,-400.000048
47,140.907877,37.695222,-400.000048
48,336.386625,270.466884,15.029480
49,111.685528,109.218086,400.000000
50,0.158024,0.154781,400.000000
51,-3.676463,-0.084972,400.000000
52,-91.028415,-31.093172,400.000000
53,-318.558445,-251.626522,-103.067029
54,-111.631454,-108.366693,-400.000048
55,0.357103,-0.242662,-400.000048
56,23.173478,-2.448702,-400.000048
57,141.668098,37.268691,-400.000048
58,337.393467,270.898041,16.491224
59,112.160076,109.700454,400.000000
60,0.165844,0.162268,400.000000
