sample_index,timestamp_ms,ch2_mv,packet_index
54500,109000.000,-10.294248,2180
54501,109002.000,-10.042001,2180
54502,109004.000,-9.995223,2180
54503,109006.000,-10.221816,2180
54504,109008.000,-10.800554,2180
54505,109010.000,-11.277391,2180
54506,109012.000,-11.480428,2180
54507,109014.000,-11.422206,2180
54508,109016.000,-11.165906,2180
54509,109018.000,-10.617448,2180
54510,109020.000,-10.224487,2180
54511,109022.000,-9.987403,2180
54512,109024.000,-9.952976,2180
54513,109026.000,-10.193111,2180
54514,109028.000,-10.781671,2180
54515,109030.000,-11.258651,2180
54516,109032.000,-11.445857,2180
54517,109034.000,-11.357452,2180
54518,109036.000,-11.059619,2180
54519,109038.000,-10.555030,2180
54520,109040.000,-10.213567,2180
54521,109042.000,-9.961892,2180
54522,109044.000,-9.922696,2180
54523,109046.000,-10.160733,2180
54524,109048.000,-10.747768,2180
54525,109050.000,-11.229516,2181
54526,109052.000,-11.433364,2181
54527,109054.000,-11.369277,2181
54528,109056.000,-11.070253,2181
54529,109058.000,-10.549165,2181
54530,109060.000,-10.211421,2181
54531,109062.000,-9.971954,2181
54532,109064.000,-9.945012,2181
54533,109066.000,-10.193540,2181
54534,109068.000,-10.789110,2181
54535,109070.000,-11.269952,2181
54536,109072.000,-11.464359,2181
54537,109074.000,-11.370422,2181
54538,109076.000,-11.067916,2181
54539,109078.000,-10.571576,2181
54540,109080.000,-10.243846,2181
54541,109082.000,-10.004569,2181
54542,109084.000,-9.977723,2181
54543,109086.000,-10.230876,2181
54544,109088.000,-10.820342,2181
54545,109090.000,-11.287500,2181
54546,109092.000,-11.473657,2181
54547,109094.000,-11.383153,2181
54548,109096.000,-11.078216,2181
54549,109098.000,-10.569907,2181
54550,109100.000,-10.228540,2182
54551,109102.000,-9.982301,2182
54552,109104.000,-9.946491,2182
54553,109106.000,-10.186960,2182
54554,109108.000,-10.776140,2182
54555,109110.000,-11.245538,2182
54556,109112.000,-11.436464,2182
54557,109114.000,-11.367704,2182
54558,109116.000,-11.065341,2182
54559,109118.000,-10.538150,2182
54560,109120.000,-10.196878,2182
54561,109122.000,-9.962178,2182
54562,109124.000,-9.937335,2182
54563,109126.000,-10.189153,2182
54564,109128.000,-10.786487,2182
54565,109130.000,-11.261465,2182
54566,109132.000,-11.443092,2182
54567,109134.000,-11.337377,2182
54568,109136.000,-11.027099,2182
54569,109138.000,-10.541297,2182
54570,109140.000,-10.214044,2182
54571,109142.000,-9.968950,2182
54572,109144.000,-9.947778,2182
54573,109146.000,-10.214092,2182
54574,109148.000,-10.813953,2182
54575,109150.000,-11.283685,2183
54576,109152.000,-11.463262,2183
54577,109154.000,-11.365272,2183
54578,109156.000,-11.071350,2183
54579,109158.000,-10.590698,2183
54580,109160.000,-10.266019,2183
54581,109162.000,-10.033323,2183
54582,109164.000,-10.015870,2183
54583,109166.000,-10.274316,2183
54584,109168.000,-10.864450,2183
54585,109170.000,-11.310197,2183
54586,109172.000,-11.480047,2183
54587,109174.000,-11.385871,2183
54588,109176.000,-11.056329,2183
54589,109178.000,-10.524799,2183
54590,109180.000,-10.180761,2183
54591,109182.000,-9.937145,2183
54592,109184.000,-9.912683,2183
54593,109186.000,-10.179569,2183
54594,109188.000,-10.780193,2183
54595,109190.000,-11.249877,2183
54596,109192.000,-11.439086,2183
54597,109194.000,-11.366559,2183
54598,109196.000,-11.046745,2183
54599,109198.000,-10.525895,2183
54600,109200.000,-10.198690,2184
54601,109202.000,-9.969903,2184
54602,109204.000,-9.955741,2184
54603,109206.000,-10.226585,2184
54604,109208.000,-10.825826,2184
54605,109210.000,-11.284019,2184
54606,109212.000,-11.461927,2184
