sample_index,CH2,CH3,CH4
0,-0.023505004957822453,-0.0967240702426292,-0.10333099590452573
1,-0.024926996825340844,-0.09970972891937104,-0.10471914220833127
2,-0.0258051747801773,-0.10221818881943832,-0.1061161305898547
3,-0.026164176133570034,-0.10420292366931051,-0.10750360210357549
4,-0.026006735468251045,-0.10561999574110816,-0.10887077951009491
5,-0.025388579870336703,-0.10641153684905355,-0.11016163371270701
6,-0.02442361056037867,-0.1066577572416479,-0.11131405593461285
7,-0.023118027120804036,-0.10641138090862814,-0.11228935010067029
8,-0.021517193358130834,-0.10572339479056117,-0.11303513490206238
9,-0.019834923766522447,-0.10470006488582406,-0.1135689572019553
10,-0.01836307519179636,-0.10355920304196196,-0.11398878245422975
11,-0.017288377762532867,-0.10251194538613863,-0.11435681331603516
12,-0.01657227191186533,-0.10168335892881415,-0.1146765537777468
13,-0.016148064671310452,-0.10106830006153368,-0.11494273401938264
14,-0.015979485280758446,-0.10062449999324781,-0.11515056105257696
15,-0.016059636146582717,-0.1003555344257131,-0.11533279281405222
16,-0.0163566016099598,-0.1002032627016813,-0.11551977920700103
17,-0.016920863476828734,-0.10024871251162097,-0.1157335493196224
18,-0.017724352563222405,-0.10058541149350402,-0.11601527724871212
19,-0.0185892092153232,-0.10119292319139842,-0.11635866794072439
20,-0.0193411023686582,-0.10202369954819289,-0.11673124797342824
21,-0.019889211043620385,-0.10296421867255502,-0.11710237974229616
22,-0.02023979831150794,-0.10388416719166668,-0.11745439560948075
23,-0.020456824540545974,-0.10478678021315314,-0.11778810537365414
24,-0.020738050615392682,-0.10586463127922804,-0.11813545629807347
25,-0.021180497605616806,-0.10728852971961676,-0.1185381708033536
26,-0.0217974539596862,-0.10913408772042435,-0.11904173831856428
27,-0.02248102788899829,-0.11127177528625194,-0.11966949917860008
28,-0.023194122030643482,-0.11360956226303906,-0.12040578842863614
29,-0.02398794926775721,-0.1161813716414407,-0.12124915085733579
30,-0.02479025342773002,-0.11885889957991957,-0.12217219130335258
31,-0.025561934412762936,-0.12151935992502585,-0.1231749804234245
32,-0.026310590376761454,-0.1240898641321847,-0.12427353907364044
33,-0.027000681594007574,-0.12646649517832864,-0.12547294469052178
34,-0.027462836020845115,-0.1284106635872151,-0.1267256557184378
35,-0.027666091556310914,-0.12974045539185158,-0.12798868439170086
36,-0.02765276007854707,-0.13046789313281446,-0.1292414304464207
37,-0.0275529868744215,-0.13079546175852777,-0.13048050743673315
38,-0.027476286067666753,-0.13082506762506693,-0.1317298278419107
39,-0.02745721296550067,-0.13049094068803052,-0.13296750392130902
40,-0.0275935196943877,-0.1298587136157666,-0.13417148103585985
41,-0.02787481169408762,-0.12907051739002856,-0.13531441164802344
42,-0.028202511302381227,-0.1282191303409939,-0.13633945583313897
43,-0.02846646960094366,-0.12730533527630797,-0.1371992388799087
44,-0.02864189152657903,-0.1264584226332319,-0.13789714539323605
45,-0.028610299391534057,-0.12571429087463026,-0.13839292936752284
46,-0.028243233709302526,-0.12500437705361284,-0.13864336455926804
47,-0.02752314732320365,-0.12422404889408337,-0.13864382469223663
48,-0.02651476338432203,-0.123378653217739,-0.1383681304427981
49,-0.025345874706305924,-0.12253855700664286,-0.13784386587806088
50,-0.024046109208376985,-0.1215919413670148,-0.1370906518784021
51,-0.022645921321165264,-0.12030127267940612,-0.1360735114578547
52,-0.021255047603149543,-0.11855125795051487,-0.1348080600537656
53,-0.020022674938618833,-0.11640313613609206,-0.1333358530427968
54,-0.01897452115585674,-0.11372567425609055,-0.13165584039128242
55,-0.018203951382924313,-0.11053716185724963,-0.12982545614483856
56,-0.017828554071935517,-0.1068719987722785,-0.12787724344133328
57,-0.017760114726511476,-0.1027062403947002,-0.12579749220367345
58,-0.017802844368072987,-0.09798825149981315,-0.12359819387557695
59,-0.01774340640203444,-0.09271530673730254,-0.1212666874116857
60,-0.01758319991982028,-0.08708120580909294,-0.11880349631060198
61,-0.017391175945147577,-0.08127828384569512,-0.11623458333133821
62,-0.01715372907872331,-0.07531188766974739,-0.1135432819808923
63,-0.016762903724453014,-0.06908045038833797,-0.11069215950058127
64,-0.016222260609744635,-0.0626409534825769,-0.1076892495552356
65,-0.015595886992640815,-0.056031986141009,-0.10454816480018522
66,-0.014948474118456338,-0.04932745756590505,-0.10132104633284425
67,-0.014432673797569738,-0.042619362713914755,-0.09809281780429538
68,-0.014155997244125397,-0.03598113395010709,-0.09499224804270487
69,-0.014213748633015066,-0.029553573926079137,-0.09216479517395221
70,-0.014501945965837126,-0.023476667858201933,-0.08974082542127393
71,-0.014803946498292888,-0.017946122797402826,-0.08778990825822894
72,-0.014960900149988242,-0.013288128892522347,-0.08637040747909089
73,-0.014972648259134174,-0.009743999268117223,-0.0855176079522219
